modelo,model_short,is_slm,n_rows,n_parsed,n_correct,total_cost,accuracy_pct,tasks_observed,total_cost_usd
zai-org/GLM-5.1,GLM-5.1,False,630,624,571,2.5939634000000003,91.50641025641026,624,2.5939634000000003
google/gemma-4-31B-it,gemma-4-31B-it,False,630,630,564,0.11589295000000001,89.52380952380952,630,0.11589295000000001
deepseek-ai/DeepSeek-V4-Flash,DeepSeek-V4-Flash,False,630,630,545,0.0985488,86.5079365079365,630,0.0985488
deepseek-ai/DeepSeek-V3.2,DeepSeek-V3.2,False,630,630,540,0.17521192,85.71428571428571,630,0.17521192
Qwen/Qwen3.5-4B,Qwen3.5-4B,True,630,628,528,0.33499227,84.07643312101911,628,0.33499227
meta-llama/Llama-3.3-70B-Instruct-Turbo,Llama-3.3-70B-Instruct-Turbo,False,630,630,469,0.08731676000000001,74.44444444444444,630,0.08731676000000001
google/gemma-3-27b-it,gemma-3-27b-it,False,630,630,458,0.06000864,72.6984126984127,630,0.06000864
google/gemma-3-12b-it,gemma-3-12b-it,True,630,630,418,0.03515546,66.34920634920636,630,0.03515546
meta-llama/Meta-Llama-3.1-8B-Instruct,Meta-Llama-3.1-8B-Instruct,True,630,627,336,0.01660468,53.588516746411486,627,0.01660468
Qwen/Qwen3.5-2B,Qwen3.5-2B,True,630,621,332,0.03193478,53.4621578099839,621,0.03193478
google/gemma-3-4b-it,gemma-3-4b-it,True,630,629,331,0.03127496,52.62321144674086,629,0.03127496
Qwen/Qwen3.5-0.8B,Qwen3.5-0.8B,True,630,620,241,0.01592209,38.87096774193548,620,0.01592209
